OBJECTID,Bas0_ID,WXSOID,BASINNAME,ISLANDNAME,Window_C,System_CD,Sea_CD,ShorCD,Nb_catch,LevelC,SortC,ECRVers,CalcNum,WX02ID,NextDown_I,W1LinkD,W1LinkU,ExportVers,WX03ID,Is_BasS3,Is_Coast,Is_Anomaly,Is_Upstrea,Exutoire,ZHYD,SS,SB,B,ZG,FRBD,FRBD_BC,FSU,NextDown,Outlet,Ctry,Nuts2,ZU1,ZU2,DRAINPPAL,Code_Arbo,Surf,Surfc,Surffinal,LIbelle,Mean_Elev,Ild_EcrID,CTRY_,Shape_Leng,Shape_Area
"4447",W3CC009401,JSO1144536,,,"2009",C,"12204",CC,"255","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC009401,WSS0345000,WSB0000691,WBCC_____C,,WFD0000097,WGD0000097,,,JSO1144536,WCY_____GR,WNT____GR1,,,Z_G3930603,*,129.51000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,83600.00000000000,129510000.00000000000
"4448",W3CC009501,JSO1086567,,,"2009",C,"12204",CC,"225","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC009501,WSS0346000,WSB0000691,WBCC_____C,,WFD0000097,WGD0000097,,,JSO1086462,WCY_____GR,WNT____GR1,,,Z_G3930701,*,129.81000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,87600.00000000000,129810000.00000000000
"7021",W3X0000001,JSO1146388,,,"2009",X,"1",X0,"8","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000001,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1146388,WCY_____MK,WNT_____MK,,,Z_G4086361,*,7.05000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,16200.00000000000,7050000.00000000000
"7022",W3X0000101,JSO1087148,,,"2009",X,"1",X0,"15","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000101,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087148,WCY_____MK,WNT_____MK,,,Z_G4079291,*,16.19000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,32000.00000000000,16190000.00000000000
"7023",W3X0000201,JSO1087191,,,"2009",X,"1",X0,"176","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000201,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087191,WCY_____MK,WNT_____MK,,,Z_G3964201,*,55.59000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,65800.00000000000,55590000.00000000000
"7024",W3X0000301,JSO1087492,,,"2009",X,"1",X0,"49","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000301,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087492,WCY_____MK,WNT_____MK,,,Z_G4034741,*,20.62000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,29000.00000000000,20620000.00000000000
"7025",W3X0000401,JSO1087724,,,"2009",X,"1",X0,"15","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000401,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087724,WCY_____MK,WNT_____MK,,,Z_G4079321,*,19.81000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,29800.00000000000,19810000.00000000000
"7026",W3X0000501,JSO1206241,,,"2009",X,"1",X0,"0","0","0","2","30",,,,,"2",,"0","1","0","1","0",W3X0000501,WSS0354000,WSB0000455,WBX0_____C,,WFD0000101,WGD0000101,,,,WCY_____GR,WNT____GR1,,,,*,1.58000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,9800.00000000000,1580000.00000000000
"7027",W3X0000601,JSO1088267,,,"2009",X,"1",X0,"81","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000601,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1088267,WCY_____AL,WNT__AL.KE,,,Z_G4019743,*,39.26000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____AL,78200.00000000000,39260000.00000000000
"7029",W3X0000901,JSO1087746,,,"2009",X,"1",X0,"40","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0000901,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1147930,WCY_____MK,WNT_____MK,,,Z_G4034771,*,33.26000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,44600.00000000000,33260000.00000000000
