OBJECTID,osm_id,code,fclass,name,layer,bridge,tunnel,Shape_Leng
"148","332434982","6101",rail,,0.00000000000,F,F,2201.31373892000
"149","332435067","6101",rail,,0.00000000000,F,F,137.67732562300
"150","332435068","6101",rail,,0.00000000000,T,F,39.21759320920
"151","332436184","6101",rail,,0.00000000000,F,F,117.38524294100
"152","332436186","6101",rail,,0.00000000000,T,F,5.69381660871
"153","332436742","6101",rail,,0.00000000000,T,F,13.71063629660
"154","332436744","6101",rail,,0.00000000000,F,F,623.32799708600
"155","332437986","6101",rail,,0.00000000000,T,F,7.20285344512
"156","332437988","6101",rail,,0.00000000000,T,F,7.99511175868
"157","332437989","6101",rail,,0.00000000000,F,F,346.97516684100
"158","332438407","6101",rail,,0.00000000000,F,F,115.48453835800
"159","332438408","6101",rail,,0.00000000000,T,F,11.60054726630
"160","332439965","6101",rail,,0.00000000000,T,F,6.32625608878
"161","332439967","6101",rail,,0.00000000000,F,F,350.24415466600
"162","332440022","6101",rail,,0.00000000000,F,F,888.95436519400
"163","332440024","6101",rail,,0.00000000000,T,F,8.89790510589
"164","333568152","6101",rail,,0.00000000000,F,F,2621.77240560000
"165","333568158","6101",rail,,0.00000000000,T,F,10.48671828360
"166","333568160","6101",rail,,0.00000000000,T,F,35.72528388700
"167","333568162","6101",rail,,0.00000000000,F,F,227.35396797700
"168","333570842","6101",rail,,0.00000000000,T,F,12.58453821390
"169","333570845","6101",rail,,0.00000000000,F,F,4815.19464540000
"170","333574826","6101",rail,,0.00000000000,T,F,9.85093645871
"171","333574828","6101",rail,"4900",0.00000000000,F,F,3603.04388037000
"172","333576800","6101",rail,,0.00000000000,T,F,93.51750863290
"173","333576802","6101",rail,,0.00000000000,F,F,1571.72883975000
"174","333577222","6101",rail,,0.00000000000,F,F,446.43132838500
"175","333577223","6101",rail,,0.00000000000,T,F,24.63200972390
"176","333577224","6101",rail,,0.00000000000,F,F,454.52866304600
"177","333577225","6101",rail,,0.00000000000,T,F,46.84399988170
"178","333577391","6101",rail,,0.00000000000,F,F,268.39985386400
"179","333577393","6101",rail,,0.00000000000,T,F,35.79341077780
"180","333578204","6101",rail,,0.00000000000,T,F,8.77363108260
"181","333578205","6101",rail,,0.00000000000,F,F,3341.78914592000
"182","333578856","6101",rail,,0.00000000000,F,F,1189.74346894000
"183","333578857","6101",rail,,0.00000000000,T,F,5.84385473380
"184","333579504","6101",rail,,0.00000000000,F,F,1500.06143902000
"185","333579506","6101",rail,,0.00000000000,T,F,17.50912485280
"186","333579569","6101",rail,,0.00000000000,F,F,167.00504664900
"187","333579571","6101",rail,,0.00000000000,T,F,12.26422400720
"188","333579859","6101",rail,,0.00000000000,T,F,8.27548823470
"189","333579860","6101",rail,,0.00000000000,F,F,1531.28663440000
"190","333581693","6101",rail,,0.00000000000,F,F,257.44092204300
"191","333581694","6101",rail,,0.00000000000,T,F,13.08754345110
"192","333581695","6101",rail,,0.00000000000,T,F,17.12396225430
"193","333581696","6101",rail,,0.00000000000,F,F,38.46187927000
"194","333581697","6101",rail,,0.00000000000,F,F,271.42249779300
"195","333581698","6101",rail,,0.00000000000,T,F,7.13467088624
"196","333581700","6101",rail,,0.00000000000,F,F,1740.46137420000
"197","333581701","6101",rail,,0.00000000000,T,F,5.50685712384
"198","333582309","6101",rail,,0.00000000000,F,F,2791.99353076000
"199","333582310","6101",rail,,0.00000000000,T,F,8.54230114134
"200","333583639","6101",rail,,0.00000000000,F,F,720.48076982600
"201","333583640","6101",rail,,0.00000000000,T,F,33.59046525900
"202","333583641","6101",rail,,0.00000000000,F,F,678.03568020200
"203","333583642","6101",rail,,0.00000000000,T,F,7.62720742139
"204","333583643","6101",rail,,0.00000000000,F,F,969.59504092200
"205","333583644","6101",rail,,0.00000000000,T,F,8.46206755454
"206","333583645","6101",rail,,0.00000000000,F,F,193.71193335100
"207","333583646","6101",rail,,0.00000000000,T,F,7.11689502766
"208","333583647","6101",rail,,0.00000000000,F,F,241.87330794700
"209","333583648","6101",rail,,0.00000000000,T,F,16.12775232170
"210","333583649","6101",rail,,0.00000000000,F,F,314.27323992700
"211","333583650","6101",rail,,0.00000000000,T,F,23.79151303190
"212","333583651","6101",rail,,0.00000000000,F,F,143.52306605400
"213","333583653","6101",rail,,0.00000000000,T,F,9.47262947264
"214","333583654","6101",rail,,0.00000000000,F,F,195.96956705600
"215","333583655","6101",rail,,0.00000000000,T,F,11.10888004330
"216","333584224","6101",rail,,0.00000000000,F,F,1857.75283154000
"217","333584225","6101",rail,,0.00000000000,T,F,19.55304714750
"218","333584367","6101",rail,,0.00000000000,F,F,991.41322853300
"219","333584368","6101",rail,,0.00000000000,T,F,7.85064124487
"220","333584718","6101",rail,,0.00000000000,F,F,1424.05323050000
"221","333584719","6101",rail,,0.00000000000,T,F,9.07723184539
"222","333585119","6101",rail,,0.00000000000,F,F,2333.40352244000
"223","333585120","6101",rail,,0.00000000000,T,F,9.14990640611
"224","333585121","6101",rail,,0.00000000000,F,F,221.81758111800
"225","333585122","6101",rail,,0.00000000000,T,F,17.95671921150
"226","333585170","6101",rail,,0.00000000000,F,F,186.92539637300
"227","333585171","6101",rail,,0.00000000000,T,F,7.73374855796
"228","333813796","6101",rail,,0.00000000000,F,F,160.12280799700
"229","333818142","6101",rail,,0.00000000000,T,F,4.73705368709
"230","333818143","6101",rail,,0.00000000000,F,F,577.01167795400
"231","333818909","6101",rail,,0.00000000000,F,F,945.12953912400
"232","333818910","6101",rail,,0.00000000000,T,F,7.73767793193
"233","333818912","6101",rail,,0.00000000000,F,F,729.88880861500
"234","333818914","6101",rail,,0.00000000000,T,F,4.92391450855
"235","333818917","6101",rail,,0.00000000000,F,F,964.63849431600
"236","333819596","6101",rail,,0.00000000000,F,F,651.97229567300
"237","333819599","6101",rail,,0.00000000000,T,F,7.17979914873
"238","333819600","6101",rail,,0.00000000000,F,F,552.19338223200
"239","333819601","6101",rail,,0.00000000000,T,F,8.25196665833
"240","333821173","6101",rail,,0.00000000000,F,F,528.45888362400
"241","333821174","6101",rail,,0.00000000000,T,F,6.37665178320
"242","333828635","6101",rail,,0.00000000000,T,F,8.23195193923
"243","333828636","6101",rail,,0.00000000000,F,F,1507.17432974000
"244","333829553","6101",rail,,0.00000000000,F,F,759.55982903900
"245","333829556","6101",rail,,0.00000000000,T,F,4.88641622609
"246","333829846","6101",rail,,0.00000000000,F,F,296.41696403600
"247","333829847","6101",rail,,0.00000000000,T,F,10.30139223250
"248","333830642","6101",rail,,0.00000000000,F,F,232.67621855100
"249","333830644","6101",rail,,0.00000000000,T,F,6.47980814627
"250","333830645","6101",rail,,0.00000000000,F,F,147.70428720900
"251","333830646","6101",rail,,0.00000000000,T,F,8.80328121593
"252","333830647","6101",rail,,0.00000000000,F,F,584.08049909300
"253","333830648","6101",rail,,0.00000000000,T,F,6.85634112438
"254","334378462","6101",rail,,0.00000000000,F,F,983.28176681600
"255","334378464","6101",rail,,0.00000000000,T,F,5.14324900872
"256","334378468","6101",rail,,0.00000000000,F,F,202.06366790700
"257","334378470","6101",rail,,0.00000000000,T,F,9.27185220824
"258","334378471","6101",rail,,0.00000000000,F,F,413.81988246500
"259","334378472","6101",rail,,0.00000000000,T,F,38.97869145670
"260","334379238","6101",rail,,0.00000000000,F,F,219.13303265000
"261","334379240","6101",rail,,0.00000000000,T,F,12.26436591280
"262","334379241","6101",rail,,0.00000000000,T,F,8.41152078810
"263","334379243","6101",rail,,0.00000000000,F,F,538.61867347400
"264","334379244","6101",rail,,0.00000000000,F,F,169.66261012000
"265","334379245","6101",rail,,0.00000000000,T,F,8.28461979462
"266","334379246","6101",rail,,0.00000000000,T,F,6.53905637396
"267","334379247","6101",rail,,0.00000000000,F,F,507.21971339900
"268","334382674","6101",rail,,0.00000000000,T,F,12.07523223540
"269","334382675","6101",rail,,0.00000000000,F,F,281.70795161700
"270","334382676","6101",rail,,0.00000000000,F,F,454.74419729300
"271","334382677","6101",rail,,0.00000000000,T,F,11.65951923150
"272","334383008","6101",rail,,0.00000000000,T,F,8.00331726728
"273","334383009","6101",rail,,0.00000000000,F,F,745.03330059700
"274","334383010","6101",rail,,0.00000000000,T,F,13.53298658200
"275","334383011","6101",rail,,0.00000000000,F,F,1615.04593595000
"276","334386311","6101",rail,,0.00000000000,F,F,619.45872049300
"277","334386312","6101",rail,,0.00000000000,F,F,543.04353280000
"278","334388995","6101",rail,,0.00000000000,F,F,755.49801610000
"279","334388996","6101",rail,,0.00000000000,T,F,14.31471349010
"280","334389301","6101",rail,,0.00000000000,F,F,872.89853484800
"281","334389303","6101",rail,,0.00000000000,T,F,7.87897015004
"282","334397206","6101",rail,,0.00000000000,F,F,199.66795352700
"283","334397208","6101",rail,,0.00000000000,T,F,7.13242199064
"284","334397211","6101",rail,,0.00000000000,F,F,315.96798207400
"285","334397214","6101",rail,,0.00000000000,T,F,9.75108198461
"286","334397217","6101",rail,,0.00000000000,T,F,10.63873152190
"287","334397221","6101",rail,,0.00000000000,F,F,637.20881253500
"288","334397224","6101",rail,,0.00000000000,F,F,333.59457272200
"289","334397226","6101",rail,,0.00000000000,T,F,7.61229119555
"290","334401131","6101",rail,,0.00000000000,F,F,518.71480147100
"291","334401133","6101",rail,,0.00000000000,T,F,8.36666231754
"292","334401135","6101",rail,,0.00000000000,F,F,289.82876821900
"293","334401136","6101",rail,,0.00000000000,T,F,8.93071215107
"294","334401137","6101",rail,,0.00000000000,F,F,181.92719925900
"295","334401139","6101",rail,,0.00000000000,T,F,12.20842645090
"296","334401144","6101",rail,,0.00000000000,F,F,239.40342304800
"297","334401147","6101",rail,,0.00000000000,T,F,10.80926377250
"298","334403304","6101",rail,,0.00000000000,F,F,775.70947682000
"299","334403307","6101",rail,,0.00000000000,T,F,14.52585925600
"300","334403309","6101",rail,,0.00000000000,F,F,455.69675913600
"301","334403311","6101",rail,,0.00000000000,T,F,11.79110588270
"302","334628612","6101",rail,,0.00000000000,T,F,6.38452000514
"303","334628613","6101",rail,,0.00000000000,F,F,149.00651901800
"304","334633053","6101",rail,,0.00000000000,F,F,60.10685376490
"305","334633054","6101",rail,,0.00000000000,F,T,51.44921353590
"306","334726038","6101",rail,,0.00000000000,F,F,2243.48418791000
"307","335378202","6101",rail,,0.00000000000,F,F,890.74996415900
"308","335378203","6101",rail,,0.00000000000,T,F,7.82798438924
"309","335378204","6101",rail,,0.00000000000,F,F,352.25746211400
"310","335378205","6101",rail,,0.00000000000,T,F,7.42439070789
"311","335378206","6101",rail,,0.00000000000,F,F,344.39836936600
"312","335378207","6101",rail,,0.00000000000,T,F,8.34243607649
"313","335378376","6101",rail,,0.00000000000,F,F,503.85881289500
"314","335378378","6101",rail,,0.00000000000,T,F,8.06502656962
"315","335378654","6101",rail,,0.00000000000,F,F,355.97802949800
"316","335378655","6101",rail,,0.00000000000,T,F,8.02461896104
"317","335378656","6101",rail,,0.00000000000,T,F,8.13229379005
"318","335378657","6101",rail,,0.00000000000,F,F,38.39553059010
"319","335378658","6101",rail,,0.00000000000,T,F,12.39936906010
"320","335378659","6101",rail,,0.00000000000,F,F,154.29414578300
"321","335378857","6101",rail,,0.00000000000,F,F,332.02112305000
"322","335378858","6101",rail,,0.00000000000,T,F,9.86805263168
"323","335378859","6101",rail,,0.00000000000,F,F,63.38672377770
"324","335378860","6101",rail,,0.00000000000,T,F,7.10806644067
"325","335378861","6101",rail,,0.00000000000,F,F,1392.42899548000
"326","335378862","6101",rail,,0.00000000000,T,F,6.75766980625
"327","335379961","6101",rail,,0.00000000000,F,F,389.06566000600
"328","335379962","6101",rail,,0.00000000000,T,F,11.68632919140
"329","335380480","6101",rail,,0.00000000000,F,F,142.03529123700
"330","335380482","6101",rail,,0.00000000000,T,F,12.49399079490
"331","335380483","6101",rail,,0.00000000000,F,F,497.38921154100
"332","335380599","6101",rail,,0.00000000000,F,F,470.18772344300
"333","335380601","6101",rail,,0.00000000000,T,F,15.33576202340
"334","335381027","6101",rail,,0.00000000000,F,F,740.58227417400
"335","335381029","6101",rail,,0.00000000000,T,F,8.80717565133
"336","336997150","6101",rail,,0.00000000000,F,F,6955.09298348000
"337","336997153","6101",rail,,0.00000000000,F,T,104.11156300600
"338","362729588","6101",rail,,1.00000000000,T,F,10.45990851990
"339","362729589","6101",rail,,0.00000000000,F,F,2505.36198499000
"340","362729590","6101",rail,,1.00000000000,T,F,8.69320007306
"341","362729591","6101",rail,,0.00000000000,F,F,459.34298686900
"342","362729596","6101",rail,,0.00000000000,F,F,221.12171563500
"343","362729597","6101",rail,,0.00000000000,F,F,1036.52605993000
"344","362729601","6101",rail,,0.00000000000,F,F,1134.59255219000
"345","362729602","6101",rail,,-1.00000000000,F,T,88.89247942770
"346","362729603","6101",rail,,1.00000000000,T,F,12.71446317970
"347","362729606","6101",rail,,0.00000000000,F,F,162.95005019300
"348","370828848","6101",rail,,0.00000000000,F,F,675.75352626600
"349","370828849","6101",rail,,0.00000000000,F,F,416.03219106500
"350","370828850","6101",rail,,0.00000000000,F,F,200.44624042500
"351","370828851","6101",rail,,0.00000000000,F,F,164.77918966100
"352","370828852","6101",rail,,0.00000000000,F,F,643.38282966800
"353","370828862","6101",rail,,0.00000000000,F,F,230.22908421900
"354","370828863","6101",rail,,0.00000000000,F,F,563.73291381100
"355","370828874","6101",rail,,0.00000000000,F,T,47.57882863110
"356","370828875","6101",rail,,0.00000000000,T,F,11.31799883110
"357","370828876","6101",rail,,0.00000000000,F,F,1823.76069149000
"358","370849902","6101",rail,,0.00000000000,T,F,12.72443377330
"359","371358691","6101",rail,,0.00000000000,F,F,3620.06645448000
"360","371358692","6101",rail,,0.00000000000,T,F,8.89515549349
"361","371358706","6101",rail,,0.00000000000,F,F,798.03033237100
"362","371358707","6101",rail,,0.00000000000,F,F,792.74233168100
"363","382255927","6101",rail,,0.00000000000,F,F,1359.99287101000
"364","382255928","6101",rail,,0.00000000000,T,F,13.81433994230
"365","382273457","6101",rail,,0.00000000000,F,F,682.76227826300
"366","382273459","6101",rail,,0.00000000000,F,T,111.63817484200
"367","382273460","6101",rail,,0.00000000000,T,F,17.25374609990
"368","382273461","6101",rail,,0.00000000000,F,F,28.73164542790
