OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1982","189102960","8102",stream,"0",Χείμαρρος Γαλήνης,2058.37090991000
"1983","189410511","8104",drain,"0",,1608.92858556000
"1984","189410517","8104",drain,"0",,79.31622651310
"1985","189898611","8102",stream,"0",,16.63285321580
"1986","189898612","8102",stream,"0",,19.19227901930
"1987","189898613","8102",stream,"0",,235.11541816600
"1988","189898614","8102",stream,"0",,199.24753823100
"1989","190617620","8103",canal,"0",,35.49598366860
"1990","190617621","8104",drain,"0",,227.97368569800
"1991","190617622","8103",canal,"0",,48.84007071790
"1992","190617623","8104",drain,"0",,13180.73827930000
"1993","191038159","8102",stream,"0",,19.10132070840
"1994","191038160","8102",stream,"0",,820.07794656900
"1995","195406558","8104",drain,"0",,448.38556801700
"1996","195619396","8101",river,"200",Струма,13.02464067840
"1997","195619398","8101",river,"200",Струма,180.69194839700
"1998","202285779","8103",canal,"0",,1746.81011115000
"1999","202564446","8102",stream,"0",,2412.41116751000
"2000","202672289","8102",stream,"0",Τσέρνα Ρέκα,13149.09491790000
"2001","202677917","8102",stream,"0",,4797.10077790000
"2002","206418002","8101",river,"0",,19.39865726530
"2003","207073343","8102",stream,"0",,7767.21411168000
"2004","207073344","8102",stream,"0",,2732.83919791000
"2005","207085452","8104",drain,"0",,119.06670290200
"2006","207208262","8102",stream,"0",,1645.10223365000
"2007","207208265","8102",stream,"0",,8.37200631874
"2008","210411124","8104",drain,"0",,1692.91555607000
"2009","210411125","8104",drain,"0",,1397.56263368000
"2010","210411127","8101",river,"0",Prisso,694.94777497100
"2011","210411128","8101",river,"0",Prisso,11.30522184460
"2012","211041442","8102",stream,"0",,955.43163905600
"2013","211041449","8102",stream,"0",,224.44525260800
"2014","211044165","8102",stream,"0",,4659.81633944000
"2015","211045446","8102",stream,"0",,470.81712712700
"2016","211045448","8102",stream,"0",,1043.12659056000
"2017","215623882","8102",stream,"0",,4663.24869187000
"2018","215870926","8102",stream,"0",,71.98036831240
