OBJECTID,lakID,IsCCM,Is_art13,Is_erm,Is_511,Is_512,Is_521,Is_411,Is_Wiki,Is_other,lakSScore,NAMA2,LakVersion,EcrinsVers,name,Area,Area0km2,AreaXkm2,SourceXare,perimeter,perimeterX,lke_type,ZMxm,Zmim,Zavgm,volavghm3,volmxhm3,volmihm3,Altitude,Wnb,Alt_Score,window,system_cd,sea_cd,comm_cd,langerm,Upstream_a,M_Ctry,Nb_Ctry,M_NUTS,Nb_NUTS,is2Keep,is2Create,Is2Substit,ERMID,SHAPE_Leng,SHAPE_Area
"182792",OC00138736,"-1","0","0","0","0","0","0","0","0","1",#Joker#,"1","2",,0.40999868388,0.40999871432,0.40999871432,"0","3800","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"1092","2009","2","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",#Joker#,3800.31504794000,409998.68387700000
"187552",OC00138958,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,1.75112688422,1.99001524446,1.99001524446,"0","8400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"579","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,5828.95719834000,1751126.88421999989
"187554",OC00138797,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.31869687666,0.35998619576,0.35998619576,"0","3400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"831","2009","2","2009",M,"4","34",,0.00000000000,MK,"1",MK,"1","-1","0","0",,2506.54818155000,318696.87665799999
"187562",OC00138962,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.37029453579,0.66998144440,0.66998144440,"0","5200","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"572","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,4288.88280879000,370294.53578799998
"185923",OC00138540,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,1.81747913833,1.79005039704,1.79005039704,"0","11400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"392","2009","2","2009",M,"4","38",,0.00000000000,MK,"1",MK,"1","-1","0","0",,15936.59624380000,1817479.13832999999
"186531",OC00138864,"-1","0","0","0","-1","0","0","0","0","1",Pigi,"1","2",,0.30171890710,0.37002576834,0.26500000000,"420","3600","0",,0.00000000000,0.00000000000,0.00000000000,2.45000000000,0.00000000000,0.00000000000,"279","2009","0","2009",M,"4","36",,0.00000000000,GR,"1",GR1,"1","-1","0","0",,4111.99006689000,301718.90709699999
"186862",OC00138695,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,13.12917271440,12.87996889290,12.87996889290,"0","50400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"602","2009","2","2009",M,"4","34",,0.00000000000,MK,"2",MK,"2","-1","0","0",,54994.03457060000,13129172.71440000087
"186882",OC00138703,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,2.38149461237,1.13004190337,1.13004190337,"0","7400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"609","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,6470.24885543000,2381494.61237000022
"186889",OC00138608,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,1.89116254335,1.87000896561,1.87000896561,"0","9200","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"396","2009","0","2009",M,"4","38",,0.00000000000,MK,"1",MK,"1","-1","0","0",,12907.18180440000,1891162.54334999993
"186912",OC00138398,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.39345312591,0.43001486004,0.43001486004,"0","3600","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"371","2009","2","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,3341.44336672000,393453.12590899999
"186914",OC00138488,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.66568661150,0.80001690415,0.80001690415,"0","5400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"242","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,4275.09670085000,665686.61150100001
"186919",OC00138497,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.85795297577,1.46998714571,1.46998714571,"0","9600","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"615","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,9222.31862251000,857952.97577100003
"186944",OC00138560,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,2.34353762994,3.21997981987,3.21997981987,"0","14400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"395","2009","2","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,11069.60667820000,2343537.62993999990
"187003",OC00138660,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,12.06722545780,11.93004131440,11.93004131440,"0","63400","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"255","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,78025.98761900001,12067225.45790000074
"187638",OC00138763,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.31757504136,0.42998783788,0.42998783788,"0","3400","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"119","2009","1","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,2826.08912563000,317575.04135800002
"187470",OC00138883,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,3.89561925437,3.84999572480,3.84999572480,"0","18600","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"774","2009","2","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,17018.63901680000,3895619.25437000021
"187629",OC00138829,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,2.74909514878,2.64003019759,2.64003019759,"0","21200","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"691","2009","2","2009",M,"4","34",,0.00000000000,MK,"1",MK,"1","-1","0","0",,27906.98330310000,2749095.14877999993
"187689",OC00139075,"-1","0","0","0","0","0","-1","0","0","1",#Joker#,"1","2",,7.35127770043,1.08999770916,1.08999770916,"0","8200","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"477","2009","1","2009",M,"4","3596",,0.00000000000,GR,"1",GR1,"1","-1","0","0",EU-862592Y_000,19893.09020610000,7351277.70043000020
